Nuclide,Element,Z,N,A,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest
73Cu,Cu,29,44,73,6606.0(27),1086.7(29),,,4.20(15),0.029,0,0.029,0,0.029(6),
74Cu,Cu,29,45,74,9750.5(66),1515.9(64),,,1.598(14),0.075,0,0.075,0,0.075(16),
75Cu,Cu,29,46,75,8087.6(30),3214.1(34),,,1.224(3),2.7,0,2.7,0,2.7(6),
76Cu,Cu,29,47,76,11327.0(69),3511.6(70),,,0.637(8),7.2,0,7.2,0,7.2(5),
77Cu,Cu,29,48,77,10170(150)\#,5610(150)\#,,,0.4698(20),30.1,0,30.1,0,30.1(20),
78Cu,Cu,29,49,78,12990(500),6220(500),1660(500),,0.3317(20),51,-1,51,-1,51(10),-1
79Cu,Cu,29,50,79,11690(300)\#,7670(300)\#,910(300)\#,,0.2413(21),66,-1,66,-1,66(12),-1
80Cu,Cu,29,51,80,15450(400)\#,9160(400)\#,5140(400)\#,,0.1133(64),58,-1,58,-1,58(9),-1
81Cu,Cu,29,52,81,14780(500)\#,12160(500)\#,5870(500)\#,1850(500)\#,0.0732(68),80,-1,80,-1,80(20),-1
82Cu,Cu,29,53,82,16990(600)\#,12810(600)\#,10190(600)\#,3900(600)\#,0.0323($^{+74 }_{-65}$),-1,-1,-1,-1,-1,-1
83Cu,Cu,29,54,83,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
78Zn,Zn,30,48,78,6222.7(27),437.8(31),,,1.47(15),-1,0,-1,0,-1,
79Zn,Zn,30,49,79,9115.4(29),2202.3(29),,,0.746(42),1.75,0,1.75,0,1.75(45),
80Zn,Zn,30,50,80,7575.1(39),2827.8(32),,,0.5619(30),1.36,0,1.36,0,1.36(12),
81Zn,Zn,30,51,81,11428.3(60),4952.7(58),205.4(54),,0.3035(31),9.8,-1,9.8,-1,9.8(30),-1
82Zn,Zn,30,52,82,10616.8(39),7242.7(45),767.1(42),,0.1779(25),69,-1,69,-1,69(7),-1
83Zn,Zn,30,53,83,12970(300)\#,8570(300)\#,5200(300)\#,,0.0997(30),71,-1,71,-1,>71(29),-1
84Zn,Zn,30,54,84,12160(450)\#,9260(400)\#,4860(400)\#,1480(400)\#,0.0536(81),73,-1,73,-1,73(26),-1
85Zn,Zn,30,55,85,14620(580)\#,10790(540)\#,7880(500)\#,3490(500)\#,-1,-1,-1,-1,-1,-1,-1
79Ga,Ga,31,48,79,6979(37),1243.0(40),,,2.852(10),0.084,0,0.084,0,0.084(29),
80Ga,Ga,31,49,80,10311.6(35),2232(37),,,1.9(1),0.9,0,0.9,0,0.90(7)$^m$,
81Ga,Ga,31,50,81,8663.7(39),3836.0(39),,,1.217(4),12.5,0,12.5,0,12.5(8),
82Ga,Ga,31,51,82,12484.3(33),5289.6(32),462.0(32),,0.601(2),22.7,-1,22.7,-1,22.7(20),-1
83Ga,Ga,31,52,83,11719.3(36),8086.6(34),891.9(33),,0.310(1),67,-1,67,-1,67(6),-1
84Ga,Ga,31,53,84,14060(200)\#,8820(200)\#,5180(200)\#,,0.0952(25),46,1.6,46,1.6,46(5),1.6(2)
85Ga,Ga,31,54,85,13270(300)\#,10230(300)\#,4980(300)\#,1350(300)\#,0.0919(12),80,1.3,80,1.3,80(10),1.3(2)
86Ga,Ga,31,55,86,15320(590)\#,10970(400)\#,7930(400)\#,2680(400)\#,0.0492(20),69,16.2,69,16.2,69(8),16.2(11)
87Ga,Ga,31,56,87,14830(580)\#,12080(670)\#,7730(500)\#,4680(500)\#,0.029(4),81,10.2,81,10.2,81(12),10.2(28)
83Ge,Ge,32,51,83,8692.9(37),1057.7(44),,,1.85(6),-1,0,-1,0,-1,
84Ge,Ge,32,52,84,7705.1(45),3449.6(42),,,0.952(11),10.6,0,10.6,0,10.6(6),
85Ge,Ge,32,53,85,10065.7(48),4658.8(49),403.3(47),,0.497(6),16.2,-1,16.2,-1,16.2(18),-1
86Ge,Ge,32,54,86,9560(440),5720(440),310(440),,0.222(22),45,0,45,0,45(15),
87Ge,Ge,32,55,87,11540(300)\#,6810(300)\#,2970(300)\#,,0.1032(35),-1,-1,-1,-1,-1,-1
88Ge,Ge,32,56,88,10580(450)\#,7410(400)\#,2680(400)\#,,0.0608(61),-1,-1,-1,-1,-1,-1
89Ge,Ge,32,57,89,13070(500)\#,8920(450)\#,5750(400)\#,1020(400)\#,-1,-1,-1,-1,-1,-1,-1
90Ge,Ge,32,58,90,12110(640)\#,9510(580)\#,5360(540)\#,2180(500)\#,-1,-1,-1,-1,-1,-1,-1
84As,As,33,51,84,10094.2(37),1415.7(44),,,4.03(6),0.281,0,0.281,0,0.281(38),
85As,As,33,52,85,9224.5(40),4687.3(36),,,2.023(7),62.5,0,62.5,0,62.5(10),
86As,As,33,53,86,11541.0(43),5380.2(43),842.9(40),,0.944(10),35.4,-1,35.4,-1,35.4(6),-1
87As,As,33,54,87,10808.2(37),6813.9(39),653.1(40),,0.484(35),15.4,-1,15.4,-1,15.4(22),-1
88As,As,33,55,88,13160(200)\#,7640(200)\#,3640(200)\#,,0.20($^{+20}_{ -9}$),-1,-1,-1,-1,-1,-1
89As,As,33,56,89,12190(300)\#,9020(300)\#,3490(300)\#,,-1,-1,-1,-1,-1,-1,-1
90As,As,33,57,90,14470(520)\#,9590(400)\#,6410(400)\#,880(400)\#,-1,-1,-1,-1,-1,-1,-1
91As,As,33,58,91,13680(590)\#,10830(520)\#,5950(400)\#,2770(400)\#,-1,-1,-1,-1,-1,-1,-1
92As,As,33,59,92,15740(640)\#,11530(660)\#,8680(600)\#,3800(500)\#,-1,-1,-1,-1,-1,-1,-1
86Se,Se,34,52,86,5129.1(40),1.0(40),,,14.1(2),-1,0,-1,0,-1,
87Se,Se,34,53,87,7465.6(39),1134.8(38),,,5.65(12),0.6,0,0.6,0,0.60(12),
88Se,Se,34,54,88,6831.8(46),1936.2(46),,,1.51(6),0.99,0,0.99,0,0.99(10),
89Se,Se,34,55,89,9281.9(50),3652.3(49),,,0.44(6),7.8,0,7.8,0,7.8(25),
90Se,Se,34,56,90,8200(330),4400(330),,,0.195($^{+95}_{ -65}$),-1,0.001,-1,-1,-1,-1
91Se,Se,34,57,91,10530(430),5350(430),1550(430),,0.27(5),21,-1,21,-1,21(10),-1
92Se,Se,34,58,92,9510(400)\#,6310(400)\#,1130(400)\#,,-1,-1,-1,-1,-1,-1,-1
93Se,Se,34,59,93,12180(590)\#,7450(400)\#,4250(400)\#,,-1,-1,-1,-1,-1,-1,-1
94Se,Se,34,60,94,10600(580)\#,8020(660)\#,3290(500)\#,90(500)\#,-1,-1,-1,-1,-1,-1,-1
95Se,Se,34,61,95,13310(580)\#,8870(580)\#,6290(660)\#,1560(500)\#,-1,-1,-1,-1,-1,-1,-1
87Br,Br,35,52,87,6817.8(32),1302.7(32),,,55.64(15),2.53,0,2.53,0,2.53(10),
88Br,Br,35,53,88,8975.3(41),1922.3(32),,,16.29(8),6.72,0,6.72,0,6.72(27),
89Br,Br,35,54,89,8261.5(39),3345.7(42),,,4.338(22),13.7,0,13.7,0,13.7(6),
90Br,Br,35,55,90,10959.0(38),4464.2(40),,,1.911(10),25.6,0,25.6,0,25.6(15),
91Br,Br,35,56,91,9866.7(42),5780.6(40),,,0.544(10),29.8,0,29.8,0,29.8(8),
92Br,Br,35,57,92,12536.5(72),6669.8(71),2583.8(70),,0.334(14),33.1,-1,33.1,-1,33.1(25),-1
93Br,Br,35,58,93,11250(430),7810(430),1940(430),,0.152(8),64,-1,64,-1,64(7),-1
94Br,Br,35,59,94,13950(300)\#,8670(300)\#,5230(300)\#,,0.070(20),30,-1,30,-1,30(10),-1
95Br,Br,35,60,95,12390(300)\#,9510(300)\#,4220(300)\#,780(300)\#,-1,-1,-1,-1,-1,-1,-1
96Br,Br,35,61,96,14920(300)\#,9920(300)\#,7040(300)\#,1760(300)\#,-1,-1,-1,-1,-1,-1,-1
97Br,Br,35,62,97,13370(420)\#,10950(400)\#,5960(400)\#,3080(400)\#,-1,-1,-1,-1,-1,-1,-1
98Br,Br,35,63,98,16060(500)\#,11100(420)\#,8690(400)\#,3690(400)\#,-1,-1,-1,-1,-1,-1,-1
91Kr,Kr,36,55,91,6771.1(81),319.1(69),,,8.57(4),-1,0,-1,0,-1,
92Kr,Kr,36,56,92,6003.1(67),904.4(83),,,1.841(8),0.0332,0,0.0332,0,0.0332(26),
93Kr,Kr,36,57,93,8483.9(82),2565.1(66),,,1.284(12),1.99,0,1.99,0,1.99(20),
94Kr,Kr,36,58,94,7215(12),3201(14),,,0.211(5),1.11,0,1.11,0,1.11(7),
95Kr,Kr,36,59,95,9733(28),4333(19),318(20),,0.114(3),2.87,-1,2.87,-1,2.87(18),-1
96Kr,Kr,36,60,96,8275(21),4741(29),,,0.080(7),3.7,0,3.7,0,3.7(4),
97Kr,Kr,36,61,97,11100(130),5860(130),2330(130),,0.0621(40),6.7,-1,6.7,-1,6.7(6),-1
98Kr,Kr,36,62,98,10060(300)\#,6140(300)\#,900(300)\#,,0.043(4),7,-1,7,-1,7.0(10),-1
99Kr,Kr,36,63,99,12360(400)\#,7540(400)\#,3620(400)\#,,0.037(11),11,-1,11,-1,11(7),-1
100Kr,Kr,36,64,100,11200(400)\#,8000(400)\#,3170(400)\#,,0.007($^{+11}_{ -3}$),-1,-1,-1,-1,-1,-1
101Kr,Kr,36,65,101,13720(540)\#,9050(500)\#,5850(500)\#,1030(500)\#,-1,-1,-1,-1,-1,-1,-1
91Rb,Rb,37,54,91,5906.9(89),131.8(81),,,57.9(2),-1,0,-1,0,-$^?$,
92Rb,Rb,37,55,92,8094.9(64),808.2(76),,,4.50(2),0.0109,0,0.0109,0,0.0109(7),
93Rb,Rb,37,56,93,7465.9(89),2176.1(86),,,5.85(3),1.6,0,1.6,0,1.60(10),
94Rb,Rb,37,57,94,10282.9(26),3451.7(78),,,2.704(15),10.39,0,10.39,0,10.39(22),
95Rb,Rb,37,58,95,9228(20),4883(20),,,0.378(2),8.8,0,8.8,0,8.8(4),
96Rb,Rb,37,59,96,11569.8(91),5693.9(67),1348.7(37),,0.2016(10),14.1,-1,14.1,-1,14.1(8),-1
97Rb,Rb,37,60,97,10062.3(39),6333.7(87),457.8(61),,0.1690(10),24.9,-1,24.9,-1,24.9(15),-1
98Rb,Rb,37,61,98,12054(16),6141(16),2412(18),,0.115(6),14.3,0.054,14.3,0.054,14.3(9)$^m$,0.054(7)$^m$
99Rb,Rb,37,62,99,11400.3(62),7230.6(52),1317.7(53),,0.0578(9),19.1,-1,19.1,-1,19.1(23),-1
100Rb,Rb,37,63,100,13574(21),8203(20),4033(20),,0.051(2),5.6,0.15,5.6,0.15,5.6(12),0.15(5)
101Rb,Rb,37,64,101,12480(200)\#,8910(200)\#,3530(200)\#,,0.031($^{+5}_{-4}$),28,-1,28,-1,28(5),-1
102Rb,Rb,37,65,102,14450(310)\#,9550(300)\#,5970(300)\#,600(300)\#,0.037(5),18,-1,18,-1,18(8),-1
103Rb,Rb,37,66,103,13810(450)\#,10480(410)\#,5570(400)\#,2000(400)\#,0.023($^{+13}_{-9}$),-1,-1,-1,-1,-1,-1
104Rb,Rb,37,67,104,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
96Sr,Sr,38,58,96,5411.7(97),213(11),,,1.069(13),-1,0,-1,0,-1,
97Sr,Sr,38,59,97,7540.0(75),1683.1(70),,,0.429(5),0.03,0,0.03,0,0.03(2),
98Sr,Sr,38,60,98,5871.7(86),1627.0(75),,,0.653(2),0.23,0,0.23,0,0.23(3),
99Sr,Sr,38,61,99,8128.4(81),1702.1(92),,,0.269(2),0.096,0,0.096,0,0.096(16),
100Sr,Sr,38,62,100,7506(13),2757.6(98),,,0.2007(13),1.11,0,1.11,0,1.11(21),
101Sr,Sr,38,63,101,9736(11),3931(14),,,0.115(1),2.52,0,2.52,0,2.52(25),
102Sr,Sr,38,64,102,9014(67),4830(67),,,0.072(8),5.5,0,5.5,0,5.5(20),
103Sr,Sr,38,65,103,11040(200)\#,5680(200)\#,1500(200)\#,,0.053(10),-1,-1,-1,-1,-1,-1
104Sr,Sr,38,66,104,9960(500)\#,6280(300)\#,920(300)\#,,0.053(5),-1,-1,-1,-1,-1,-1
105Sr,Sr,38,67,105,12700(1400)\#,7380(640)\#,3700(500)\#,,0.039(5),-1,-1,-1,-1,-1,-1
106Sr,Sr,38,68,106,11260(780)\#,8400(1500)\#,3130(720)\#,-550(600)\#,0.020($^{+8}_{-7}$),-1,-1,-1,-1,-1,-1
107Sr,Sr,38,69,107,13470(860)\#,9080(860)\#,6200(1500)\#,950(810)\#,-1,-1,-1,-1,-1,-1,-1
97Y,Y,39,58,97,6821.2(67),1246.1(67),,,3.74(5),0.058,0,0.058,0,0.058(10),
98Y,Y,39,59,98,8992(12),2576.6(79),,,0.548(2),0.33,0,0.33,0,0.33(3),
99Y,Y,39,60,99,6971(12),2566(11),,,1.478(7),1.97,0,1.97,0,1.97(30),
100Y,Y,39,61,100,9050(14),2222(15),,,0.732(5),1.02,0,1.02,0,1.02(6)$^m$,
101Y,Y,39,62,101,8105(11),3245(11),,,0.432(12),1.98,0,1.98,0,1.98(20),
102Y,Y,39,63,102,10414.5(97),3921.5(93),,,0.30(1),4,0,4,0,4.0(15),
103Y,Y,39,64,103,9358(15),5059(14),,,0.236(16),8.1,0,8.1,0,8.1(20),
104Y,Y,39,65,104,11660(400)\#,5680(400)\#,1380(400)\#,,0.212(20),34,-1,34,-1,34(10),-1
105Y,Y,39,66,105,10200(1300),6400(1300),400(1300),,0.107($^{+6}_{-9}$),82,-1,82,-1,$\leq$82,-1
106Y,Y,39,67,106,12500(660)\#,7340(500)\#,3530(500)\#,,0.082($^{+10}_{-5}$),-1,-1,-1,-1,-1,-1
107Y,Y,39,68,107,12000(1200)\#,8110(660)\#,2960(500)\#,,0.0335(30),-1,-1,-1,-1,-1,-1
108Y,Y,39,69,108,14060(720)\#,9000(1300)\#,5110(740)\#,-50(600)\#,0.030(5),-1,-1,-1,-1,-1,-1
109Y,Y,39,70,109,12990(860)\#,10080(810)\#,5000(1300)\#,1140(820)\#,0.025(5),-1,-1,-1,-1,-1,-1
103Zr,Zr,40,63,103,7213(10),417.9(96),,,1.380(72),1,0.001,1,-1,$\leq$1,-1
104Zr,Zr,40,64,104,6095.0(97),1233(10),,,0.920(28),1,0.001,1,-1,$\leq$1,-1
105Zr,Zr,40,65,105,8451(13),2283(12),,,0.666(28),2,0.001,2,-1,$\leq$2,-1
106Zr,Zr,40,66,106,7650(430),3290(430),,,0.175(7),7,0.001,7,-1,$\leq$7,-1
107Zr,Zr,40,67,107,9300(1100),3800(1100),-600(1100),,0.150(3),23,-1,23,-1,$\leq$23,-1
108Zr,Zr,40,68,108,8190(400)\#,4300(400)\#,,,0.0785(20),-1,0.001,-1,-1,-1,-1
109Zr,Zr,40,69,109,10500(570)\#,5280(500)\#,1390(500)\#,,0.056(3),-1,-1,-1,-1,-1,-1
110Zr,Zr,40,70,110,9400(1000)\#,5730(650)\#,520(600)\#,,0.0375(20),-1,0,-1,0,-1,
111Zr,Zr,40,71,111,11320(760)\#,6700(1100)\#,2990(750)\#,,0.0240(50),-1,-1,-1,-1,-1,-1
112Zr,Zr,40,72,112,10460(760)\#,6990(760)\#,2400(1100)\#,,0.030($^{+30}_{-10}$),-1,-1,-1,-1,-1,-1
113Zr,Zr,40,73,113,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
103Nb,Nb,41,62,103,5932(10),466.1(92),,,1.36(7),-1,0,-1,0,-1,
104Nb,Nb,41,63,104,8531.0(93),1070.3(96),,,4.9(4),0.06,0,0.06,0,0.06(3),
105Nb,Nb,41,64,105,7421.6(99),2363.1(98),,,2.91(7),1.7,0,1.7,0,1.7(9),
106Nb,Nb,41,65,106,9931(10),3062.5(100),,,1.013(42),4.5,0,4.5,0,4.5(3),
107Nb,Nb,41,66,107,8828(12),4339(12),,,0.287(11),7.4,0,7.4,0,7.4(10),
108Nb,Nb,41,67,108,11210(12),4934(12),446(12),,0.192(6),6.3,-1,6.3,-1,6.3(5),-1
109Nb,Nb,41,68,109,9980(260),5990(260),,,0.113(11),31,0,31,0,31(5),
110Nb,Nb,41,69,110,12230(840),6280(840),2300(840),,0.075(1),40,-1,40,-1,40(8)$^m$,-1
111Nb,Nb,41,70,111,11060(300)\#,7600(300)\#,1650(300)\#,,0.054(2),-1,-1,-1,-1,-1,-1
112Nb,Nb,41,71,112,13190(360)\#,7600(300)\#,4130(300)\#,,0.038(2),-1,-1,-1,-1,-1,-1
113Nb,Nb,41,72,113,11980(500)\#,8880(450)\#,3290(400)\#,-180(400)\#,0.032(4),-1,-1,-1,-1,-1,-1
114Nb,Nb,41,73,114,14420(590)\#,9030(590)\#,5930(540)\#,340(500)\#,0.017(5),-1,-1,-1,-1,-1,-1
115Nb,Nb,41,74,115,13400(640)\#,10380(590)\#,4990(590)\#,1900(540)\#,0.023(8),-1,-1,-1,-1,-1,-1
116Nb,Nb,41,75,116,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
109Mo,Mo,42,67,109,7617(15),1185(14),,,0.692(26),1.3,0,1.3,0,1.3(6),
110Mo,Mo,42,68,110,6492(26),1669(26),,,0.287(10),2,0,2,0,2.0(7),
111Mo,Mo,42,69,111,9084.9(68),3023(15),,,0.186(9),12,0,12,0,$\leq$12,
112Mo,Mo,42,70,112,7800(200)\#,3490(200)\#,,,0.125(5),-1,0,-1,0,-1,
113Mo,Mo,42,71,113,10320(300)\#,4700(300)\#,390(300)\#,,0.080(2),-1,0,-1,0,-1,
114Mo,Mo,42,72,114,8790(530)\#,4930(300)\#,,,0.058(2),-1,0,-1,0,-1,
115Mo,Mo,42,73,115,11570(890)\#,5780(590)\#,1920(400)\#,,0.0455(20),-1,-1,-1,-1,-1,-1
116Mo,Mo,42,74,116,9960(580)\#,6750(940)\#,960(660)\#,,0.032(4),-1,-1,-1,-1,-1,-1
117Mo,Mo,42,75,117,12210(640)\#,7210(580)\#,4010(930)\#,,0.022(5),-1,-1,-1,-1,-1,-1
118Mo,Mo,42,76,118,11160(640)\#,7680(640)\#,2680(580)\#,-520(930)\#,0.019($^{+7}_{-4}$),-1,-1,-1,-1,-1,-1
119Mo,Mo,42,77,119,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
109Tc,Tc,43,66,109,6456(13),1307(12),,,0.89(7),0.08,0,0.08,0,0.08(2),
110Tc,Tc,43,67,110,9038(13),1633(13),,,0.911(14),0.04,0,0.04,0,0.04(2),
111Tc,Tc,43,68,111,7761(14),2977(13),,,0.294(20),0.85,0,0.85,0,0.85(20),
112Tc,Tc,43,69,112,10372(11),3455(11),,,0.305(10),1.7,0,1.7,0,1.7(4),
113Tc,Tc,43,70,113,9057(37),4748(10),,,0.152(8),2.1,0,2.1,0,2.1(3),
114Tc,Tc,43,71,114,11620(430),5200(430),890(430),,0.090(20),1.3,0,1.3,0,1.3(4)$^m$,
115Tc,Tc,43,72,115,9870(790),5830(790),-590(790),,0.078(2),-1,-1,-1,-1,-1,-1
116Tc,Tc,43,73,116,12610(300)\#,6660(310)\#,2620(300)\#,,0.057(3),-1,-1,-1,-1,-1,-1
117Tc,Tc,43,74,117,11110(590)\#,7620(400)\#,1670(410)\#,,0.0445(30),-1,-1,-1,-1,-1,-1
118Tc,Tc,43,75,118,13470(450)\#,7630(590)\#,4140(400)\#,,0.030(4),-1,-1,-1,-1,-1,-1
119Tc,Tc,43,76,119,12190(590)\#,8820(540)\#,2980(660)\#,,0.022(3),-1,-1,-1,-1,-1,-1
120Tc,Tc,43,77,120,14490(640)\#,8980(590)\#,5600(540)\#,-240(660)\#,0.021(5),-1,-1,-1,-1,-1,-1
121Tc,Tc,43,78,121,13270(640)\#,10160(640)\#,4640(580)\#,1270(540)\#,0.022(6),-1,-1,-1,-1,-1,-1
122Tc,Tc,43,79,122,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
114Ru,Ru,44,70,114,5489(72),474.4(79),,,0.543(50),-1,0,-1,0,-1,
115Ru,Ru,44,71,115,8040(89),1450(110),,,0.318(19),-1,0,-1,0,-1,
116Ru,Ru,44,72,116,6667(74),2089.6(82),,,0.204(6),-1,0,-1,0,-1,
117Ru,Ru,44,73,117,9410(430),3170(440),,,0.151(3),-1,0,-1,0,-1,
118Ru,Ru,44,74,118,7630(200)\#,3570(200)\#,,,0.099(3),-1,0,-1,0,-1,
119Ru,Ru,44,75,119,10260(300)\#,4250(300)\#,190(300)\#,,0.0695(20),-1,0,-1,0,-1,
120Ru,Ru,44,76,120,8800(450)\#,4740(400)\#,,,0.045(2),-1,0,-1,0,-1,
121Ru,Ru,44,77,121,11200(740)\#,5700(450)\#,1630(400)\#,,0.029(2),-1,-1,-1,-1,-1,-1
122Ru,Ru,44,78,122,9930(580)\#,6030(800)\#,520(540)\#,,0.025(1),-1,0,-1,0,-1,
123Ru,Ru,44,79,123,12280(640)\#,6930(580)\#,3030(800)\#,,0.019(2),-1,-1,-1,-1,-1,-1
124Ru,Ru,44,80,124,10930(720)\#,7330(720)\#,1980(670)\#,,0.015(3),-1,-1,-1,-1,-1,-1
125Ru,Ru,44,81,125,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
115Rh,Rh,45,70,115,6197(15),1190(10),,,1.03(3),-1,0,-1,0,-1,
116Rh,Rh,45,71,116,9096(74),1619(75),,,0.69(5),2.1,0,2.1,0,$\leq$ 2.1$^m$,
117Rh,Rh,45,72,117,7527(11),2863(11),,,0.42(4),7.6,0,7.6,0,$\leq$ 7.6,
118Rh,Rh,45,73,118,10501(24),3466(25),,,0.285(10),3.1,0,3.1,0,3.1(14),
119Rh,Rh,45,74,119,8585(12),4494.6(96),,,0.190(6),6.4,0,6.4,0,6.4(16),
120Rh,Rh,45,75,120,11470(200)\#,4520(200)\#,430(200)\#,,0.131(5),5.4,-1,5.4,-1,$\leq$ 5.4,-1
121Rh,Rh,45,76,121,9930(620),5960(620),,,0.076(5),-1,0,-1,0,-1,
122Rh,Rh,45,77,122,12540(300)\#,6030(300)\#,2060(300)\#,,0.051(6),-1,-1,-1,-1,-1,-1
123Rh,Rh,45,78,123,11070(890)\#,7190(400)\#,680(400)\#,,0.042(4),-1,-1,-1,-1,-1,-1
124Rh,Rh,45,79,124,13500(500)\#,7470(890)\#,3580(400)\#,,0.030(2),-1,-1,-1,-1,-1,-1
125Rh,Rh,45,80,125,12120(640)\#,8320(580)\#,2290(930)\#,,0.0265(20),-1,-1,-1,-1,-1,-1
126Rh,Rh,45,81,126,14560(640)\#,8750(640)\#,4950(580)\#,,0.019(3),-1,-1,-1,-1,-1,-1
127Rh,Rh,45,82,127,13150(780)\#,9760(720)\#,3950(720)\#,150(670)\#,0.020($^{+20}_{-7}$),-1,-1,-1,-1,-1,-1
128Rh,Rh,45,83,128,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
119Pd,Pd,46,73,119,7238(17),74.6(86),,,0.92(11),-1,0,-1,0,-1,
120Pd,Pd,46,74,120,5371.5(50),294(15),,,0.492(33),-1,0,-1,0,-$^?$,
121Pd,Pd,46,75,121,8220(13),1397.9(56),,,0.290(1),-1,0,-1,0,-$^?$,
122Pd,Pd,46,76,122,6490(43),1715(23),,,0.193(6),-1,0,-1,0,-$^?$,
123Pd,Pd,46,77,123,9120(790),2610(790),,,0.108(2),10,0,10,0,10(6),
124Pd,Pd,46,78,124,7810(390)\#,3090(300)\#,,,0.081(17),17,0,17,0,17(5),
125Pd,Pd,46,79,125,10400(590)\#,4010(470)\#,,,0.060(7),12,0,12,0,12(4),
126Pd,Pd,46,80,126,8820(450)\#,4590(590)\#,,,0.0486(8),22,0,22,0,22(9),
127Pd,Pd,46,81,127,11260(540)\#,5430(540)\#,1200(660)\#,,0.038(2),19,0,19,0,<19,
128Pd,Pd,46,82,128,10130(580)\#,5880(540)\#,50(540)\#,,0.035(3),-1,0,-1,0,-1,
129Pd,Pd,46,83,129,14370(720)\#,8940(670)\#,4690(630)\#,,0.031(7),-1,0,-1,0,-1,
