Nuclide,Element,Z,N,A,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest
130Pd,Pd,46,84,130,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
131Pd,Pd,46,85,131,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
119Ag,Ag,47,72,119,5331(36),-15(25),,,,0,0,0,0,,
120Ag,Ag,47,73,120,8305.9(58),254(38),,,0.94(10),0.003,0,0.003,0,<0.003$^m$,
121Ag,Ag,47,74,121,6671(12),1483(13),,,0.777(12),0.08,0,0.08,0,0.080(13),
122Ag,Ag,47,75,122,9506(38),1896(38),,,0.529(19),0.186,0,0.186,0,0.186(6)$^m$,
123Ag,Ag,47,76,123,7866(31),2993(31),,,0.296(7),0.56,0,0.56,0,0.56(9),
124Ag,Ag,47,77,124,10500(250),3140(250),,,0.191(28),1.3,0,1.3,0,1.3(9)$^m$,
125Ag,Ag,47,78,125,8830(430),4110(430),,,0.160(7),11.8,0,11.8,0,11.8(10),
126Ag,Ag,47,79,126,11580(200)\#,4600(200)\#,-120(200)\#,,0.052 (10),-1,0,-1,0,-1,
127Ag,Ag,47,80,127,10310(200)\#,5750(200)\#,,,0.084(5),14.6,0,14.6,0,14.6(15),
128Ag,Ag,47,81,128,12620(300)\#,6060(300)\#,1490(300)\#,,0.060(5),20,-1,20,-1,20(5),-1
129Ag,Ag,47,82,129,11080(400)\#,7190(400)\#,620(400)\#,,0.050(4),20,0,20,0,<20,
130Ag,Ag,47,83,130,15420(500)\#,9290(500)\#,5400(500)\#,,0.041(5),-1,-1,-1,-1,-1,-1
131Ag,Ag,47,84,131,14840(510)\#,12670(500)\#,6540(500)\#,2650(500)\#,0.035(8),-1,0,-1,0,-1,
132Ag,Ag,47,85,132,16470(540)\#,13360(510)\#,11180(500)\#,5050(500)\#,0.028($^{+5}_{ -12}$),-1,0,-1,0,-1,
126Cd,Cd,48,78,126,5516(27),149(27),,,0.514(9),-1,0,-1,0,-1,
127Cd,Cd,48,79,127,8149(24),954(30),,,0.45($^{+12}_{ -8}$),-1,0,-1,0,-1,
128Cd,Cd,48,80,128,6900(150),1583(22),,,0.2461(21),-1,0,-1,0,-1,
129Cd,Cd,48,81,129,9780(17),3020(150),,,0.151(4),-1,0,-1,0,obs.,
130Cd,Cd,48,82,130,8766(44),3649(23),,,0.127(2),3.5,0,3.5,0,3.5(10),
131Cd,Cd,48,83,131,12810(100),6590(110),1480(100),,0.083(15),3.5,-1,3.5,-1,3.5(10),-1
132Cd,Cd,48,84,132,12150(210)\#,9690(200)\#,3480(200)\#,,0.084(5),60,-1,60,-1,60(15),-1
133Cd,Cd,48,85,133,13540(360)\#,10420(300)\#,7960(300)\#,1750(300)\#,0.064(8),-1,-1,-1,-1,obs.,-1
134Cd,Cd,48,86,134,12740(500)\#,10470(450)\#,7350(400)\#,4890(400)\#,0.065(15),-1,-1,-1,-1,-1,-1
126In,In,49,77,126,8242(27),52(27),,,1.087(11),0.03,0,0.03,0,<0.03,
127In,In,49,78,127,6575(19),1048(24),,,0.84(6),0.0384,0,0.0384,0,0.0384(36)$^m$,
128In,In,49,79,128,9220(150),1250(150),,,0.609(7),0.23,0,0.23,0,0.23(10),
129In,In,49,80,129,7753(17),2453(18),,,0.275(8),1.2,0,1.2,0,1.20(29),
130In,In,49,81,130,10249(38),2636(42),,,0.266(8),2.21,0,2.21,0,2.21(27)$^m$,
131In,In,49,82,131,9239.5(45),4035.9(33),,,0.200(2),7.4,0.001,7.4,-1,7.4(14),-1
132In,In,49,83,132,14135(60),6782(60),1578(60),,0.162(2),74,-1,74,-1,74(5),-1
133In,In,49,84,133,13410(200)\#,11010(200)\#,3660(200)\#,,0.167(11),80,0,80,0,80(5),
134In,In,49,85,134,14770(300)\#,11140(300)\#,8740(300)\#,1390(300)\#,0.136(5),65,-1,65,-1,$sim$65,-1
135In,In,49,86,135,14100(400)\#,11830(400)\#,8200(400)\#,5800(400)\#,0.101(5),-1,-1,-1,-1,-1,-1
136In,In,49,87,136,15390(500)\#,12050(400)\#,9780(400)\#,6150(400)\#,0.085($^{+10}_{-8}$),-1,-1,-1,-1,-1,-1
137In,In,49,88,137,14750(640)\#,12790(580)\#,9450(500)\#,7180(500)\#,0.065($^{+40}_{-30}$),-1,-1,-1,-1,-1,-1
133Sn,Sn,50,83,133,8049.6(37),690.1(31),,,1.42(6),0.0294,0,0.0294,0,0.0294(24),
134Sn,Sn,50,84,134,7586.8(36),4418.4(45),,,0.899(32),17,0,17,0,17(13),
135Sn,Sn,50,85,135,9058.1(41),5317.0(35),2148.6(44),,0.516(5),21,-1,21,-1,21(3),-1
136Sn,Sn,50,86,136,8610(300)\#,5720(300)\#,1980(300)\#,,0.345(15),27,-1,27,-1,27(4),-1
137Sn,Sn,50,87,137,10270(400)\#,6650(400)\#,3760(400)\#,20(400)\#,0.252(22),50,-1,50,-1,50(10),-1
138Sn,Sn,50,88,138,9400(1200)\#,7130(510)\#,3500(500)\#,620(500)\#,0.140($^{+30}_{-20}$),-1,-1,-1,-1,-1,-1
139Sn,Sn,50,89,139,11350(640)\#,7700(1200)\#,5480(500)\#,1850(500)\#,0.130(60),-1,-1,-1,-1,-1,-1
140Sn,Sn,50,90,140,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
134Sb,Sb,51,83,134,8513.2(32),845.3(27),,,0.675(6),-1,0,-1,0,-1,
135Sb,Sb,51,84,135,8038.5(32),4772.1(38),,,1.668(10),20,0,20,0,20.0(29),
136Sb,Sb,51,85,136,9918.4(63),5150.6(61),1884.2(64),,0.923(14),24.9,0.14,24.9,0.14,24.9(73),0.14(3)
137Sb,Sb,51,86,137,9243(52),6294(52),1526(52),,0.492(25),49,-1,49,-1,49(8),-1
138Sb,Sb,51,87,138,11500(1100),7000(1100),4100(1100),-700(1100),0.348(15),72,-1,72,-1,72(8),-1
139Sb,Sb,51,88,139,10420(400)\#,7840(400)\#,3370(400)\#,420(400)\#,0.093($^{+14}_{-3}$),90,-1,90,-1,90(10),-1
140Sb,Sb,51,89,140,12640(600)\#,8200(600)\#,5610(600)\#,1150(600)\#,0.173(12),23,7.6,23,7.6,23(4),7.6(25)
141Sb,Sb,51,90,141,11380(640)\#,9400(500)\#,4950(500)\#,2370(500)\#,-1,-1,-1,-1,-1,-1,-1
142Sb,Sb,51,91,142,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
136Te,Te,52,84,136,5120(14),1282.6(31),,,17.67(9),1.37,0,1.37,0,1.37(5),
137Te,Te,52,85,137,7052.5(86),2170(14),,,2.51(5),2.91,0,2.91,0,2.91(16),
138Te,Te,52,86,138,6283.9(71),2589.0(92),,,1.4(4),4.82,0,4.82,0,4.82(23),
139Te,Te,52,87,139,8265.9(53),3703.5(69),8.6(91),,1.58($^{+46}_{-19}$),-1,0,-1,0,-1,
140Te,Te,52,88,140,7030(64),3823(63),,,0.350(5),-1,0,-1,0,obs.,
141Te,Te,52,89,141,9440(400)\#,5050(400)\#,1840(400)\#,,-1,-1,-1,-1,-1,-1,-1
142Te,Te,52,90,142,8400(630)\#,5490(500)\#,1090(500)\#,,-1,-1,-1,-1,-1,-1,-1
143Te,Te,52,91,143,10350(540)\#,6420(630)\#,3510(500)\#,,-1,-1,-1,-1,-1,-1,-1
144Te,Te,52,92,144,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
145Te,Te,52,93,145,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
137I,7I,53,84,137,6027.1(84),2001.6(84),,,24.59(10),7.63,0,7.63,0,7.63(14),
138I,8I,53,85,138,7992.3(66),2332.2(60),,,6.251(31),5.3,0,5.3,0,5.30(21),
139I,9I,53,86,139,7173.6(45),3430.0(49),,,2.280(11),9.74,0,9.74,0,9.74(33),
140I,0I,53,87,140,9380(12),3967(12),223(12),,0.86(4),7.88,-1,7.88,-1,7.88(43),-1
141I,1I,53,88,141,8271(16),4988(16),,,0.43(2),21.2,0,21.2,0,21.2(30),
142I,2I,53,89,142,10460(370),5360(370),2070(370),,$\sim$ 0.2,-1,-1,-1,-1,-1,-1
143I,3I,53,90,143,9570(200)\#,6530(200)\#,1420(200)\#,,-1,-1,-1,-1,-1,-1,-1
144I,4I,53,91,144,11590(400)\#,6850(400)\#,3810(400)\#,,-1,-1,-1,-1,-1,-1,-1
145I,5I,53,92,145,10550(500)\#,7860(500)\#,3120(500)\#,80(500)\#,-1,-1,-1,-1,-1,-1,-1
146I,6I,53,93,146,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
147I,7I,53,94,147,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
141Xe,Xe,54,87,141,6280.2(96),781.5(87),,,1.728(13),0.0433,0,0.0433,0,0.0433(27),
142Xe,Xe,54,88,142,5284.9(76),1176.6(96),,,1.221(20),0.36,0,0.36,0,0.36(7),
143Xe,Xe,54,89,143,7472.6(89),2240.4(85),,,0.511(6),1,0,1,0,1.00(15),
144Xe,Xe,54,90,144,6399(21),2731.9(93),,,0.388(7),3,0,3,0,3.0(3),
145Xe,Xe,54,91,145,8561(14),3707(23),40(14),,0.188(4),5,-1,5,-1,5.0(6),-1
146Xe,Xe,54,92,146,7355(24),4028(26),,,0.146(6),6.9,0,6.9,0,6.9(15),
147Xe,Xe,54,93,147,9560(200)\#,4880(200)\#,1550(200)\#,,0.10($^{+10}_{-5}$),8,-1,8,-1,<8,-1
148Xe,Xe,54,94,148,8310(300)\#,5250(300)\#,570(300)\#,,-1,-1,-1,-1,-1,-1,-1
149Xe,Xe,54,95,149,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
150Xe,Xe,54,96,150,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
141Cs,Cs,55,86,141,5255.1(96),721(12),,,24.91(6),0.0342,0,0.0342,0,0.0342(14),
142Cs,Cs,55,87,142,7327.7(84),1146.8(88),,,1.687(14),0.0916,0,0.0916,0,0.0916(38),
143Cs,Cs,55,88,143,6261.7(97),2095.4(96),,,1.795(9),1.582,0,1.582,0,1.582(25),
144Cs,Cs,55,89,144,8496(20),2595(21),,,0.989(5),2.98,0,2.98,0,2.98(11),
145Cs,Cs,55,90,145,7462(12),3641(11),,,0.581(6),13.5,0,13.5,0,13.5(6),
146Cs,Cs,55,91,146,9637(21),4134.5(90),314.1(77),,0.3217(11),14.3,-1,14.3,-1,14.3(8),-1
147Cs,Cs,55,92,147,8344(21),4956(22),,,0.2297(10),28.5,0,28.5,0,28.5(20),
148Cs,Cs,55,93,148,10683(64),5282(24),1894(25),,0.151(1),29,-1,29,-1,29.0(45),-1
149Cs,Cs,55,94,149,9870(590)\#,6270(410)\#,870(400)\#,,0.106(7),25,-1,25,-1,25(4),-1
150Cs,Cs,55,95,150,11730(500)\#,6880(590)\#,3280(400)\#,,0.081(3),20,-1,20,-1,20(10),-1
151Cs,Cs,55,96,151,10710(640)\#,7600(580)\#,2750(660)\#,,0.069(26),-1,-1,-1,-1,-1,-1
152Cs,Cs,55,97,152,12780(640)\#,7940(640)\#,4830(580)\#,-20(660)\#,-1,-1,-1,-1,-1,-1,-1
147Ba,Ba,56,91,147,6414(22),715(39),,,0.894(7),0.066,0,0.066,0,0.066(45),
148Ba,Ba,56,92,148,5115(60),1013(64),,,0.620(22),0.39,0,0.39,0,0.39(33),
149Ba,Ba,56,93,149,7100(480),1520(440),,,0.352(6),2.2,0,2.2,0,2.2(17),
150Ba,Ba,56,94,150,6230(530)\#,2250(360)\#,,,0.259(5),-1,0,-1,0,-1,
151Ba,Ba,56,95,151,8370(590)\#,3120(590)\#,,,0.167(5),-1,0,-1,0,-1,
152Ba,Ba,56,96,152,7580(500)\#,3530(590)\#,,,0.139(8),-1,0,-1,0,-1,
153Ba,Ba,56,97,153,9590(500)\#,4750(500)\#,700(590)\#,,0.116(52),-1,0,-1,0,-1,
154Ba,Ba,56,98,154,8710(580)\#,5170(580)\#,330(580)\#,,0.053(48),-1,0,-1,0,-1,
147La,La,57,90,147,5336(14),886(20),,,4.073(23),0.043,0,0.043,0,0.043(4),
148La,La,57,91,148,7690(22),1234(21),,,1.34(7),0.19,0,0.19,0,0.19(5),
149La,La,57,92,149,6450(200),2110(200),,,1.091(34),1.41,0,1.41,0,1.41(34),
150La,La,57,93,150,8720(440),2470(440),,,0.51(2),2.69,0,2.69,0,2.69(34),
151La,La,57,94,151,7910(440),3470(440),,,0.457($^{+30}_{-18}$),-1,0,-1,0,-1,
152La,La,57,95,152,9690(360)\#,3860(300)\#,,,0.298($^{+6}_{-23}$),-1,0,-1,0,-1,
153La,La,57,96,153,8850(360)\#,4850(360)\#,,,0.245(18),-1,0,-1,0,-1,
154La,La,57,97,154,10690(360)\#,5310(360)\#,1310(360)\#,,0.161(15),-1,0,-1,0,-1,
155La,La,57,98,155,9850(500)\#,6220(450)\#,840(450)\#,,0.101(28),-1,0,-1,0,-1,
156La,La,57,99,156,11770(500)\#,6660(500)\#,3030(450)\#,,0.084(78),-1,0,-1,0,-1,
157La,La,57,100,157,-1,-1,-1,,-1,0.001,0.001,-1,-1,-1,-1
153Ce,Ce,58,95,153,6660(200)\#,780(200)\#,,,0.865(25),-1,0,-1,0,-1,
154Ce,Ce,58,96,154,5890(230)\#,1280(200)\#,,,0.722(14),-1,0,-1,0,-1,
155Ce,Ce,58,97,155,7640(300)\#,2250(320)\#,,,0.313(7),-1,0,-1,0,-1,
156Ce,Ce,58,98,156,6750(360)\#,2520(300)\#,,,0.233(9),-1,0,-1,0,-1,
157Ce,Ce,58,99,157,8610(500)\#,3570(450)\#,,,0.175(41),-1,0,-1,0,-1,
158Ce,Ce,58,100,158,7670(500)\#,3810(500)\#,,,0.099(93),-1,0,-1,0,-1,
153Pr,Pr,59,94,153,5762(12),510(27),,,4.29(11),-1,0,-1,0,-1,
154Pr,Pr,59,95,154,7720(100),1150(110),,,2.3(1),-1,0,-1,0,-1,
155Pr,Pr,59,96,155,6868(19),2338(55),,,1.47(3),-1,0,-1,0,-1,
156Pr,Pr,59,97,156,8910(280)\#,2650(200)\#,,,0.444(6),-1,0,-1,0,-1,
157Pr,Pr,59,98,157,7920(300)\#,3860(360)\#,,,0.295($^{+29}_{-11}$),-1,0,-1,0,-1,
158Pr,Pr,59,99,158,9730(360)\#,4060(300)\#,0(360)\#,,0.181(14),-1,0,-1,0,-1,
159Pr,Pr,59,100,159,8720(500)\#,4900(450)\#,,,0.134(43),-1,0,-1,0,-1,
160Pr,Pr,59,101,160,10610(500)\#,5220(500)\#,1390(450)\#,,0.17(14),-1,0,-1,0,-1,
161Pr,Pr,59,102,161,-1,-1,-1,,-1,0.001,0,-1,0,-1,
158Nd,Nd,60,98,158,5040(200)\#,170(200)\#,,,0.820($^{+15}_{-36}$),0,0,0,0,,
159Nd,Nd,60,99,159,6750(300)\#,1210(300)\#,,,0.485 ($^{+39}_{-20}$),-1,0,-1,0,-1,
160Nd,Nd,60,100,160,5870(360)\#,1350(300)\#,,,0.439(37),-1,0,-1,0,-1,
161Nd,Nd,60,101,161,7650(500)\#,2340(450)\#,,,0.215(76),-1,0,-1,0,-1,
162Nd,Nd,60,102,162,6820(500)\#,2610(500)\#,,,0.31(20),-1,0,-1,0,-1,
163Nd,Nd,60,103,163,-1,-1,,,-1,0.001,0,-1,0,-1,
159Pm,Pm,61,98,159,5653(12),625(11),,,1.49(18),-1,0,-1,0,-1,
160Pm,Pm,61,99,160,7230(200)\#,1130(200)\#,,,0.725(57),-1,0,-1,0,-1,
161Pm,Pm,61,100,161,6440(300)\#,1930(300)\#,,,1.05(15),-1,0,-1,0,-1,
162Pm,Pm,61,101,162,8160(360)\#,2230(300)\#,,,0.63(18),-1,0,-1,0,-1,
163Pm,Pm,61,102,163,7470(500)\#,3210(450)\#,,,0.43(35),-1,0,-1,0,-1,
164Pm,Pm,61,103,164,9230(500)\#,3780(500)\#,,,-1,-1,0,-1,0,-1,
165Pm,Pm,61,104,165,-1,-1,,,-1,0.001,0,-1,0,-1,
163Sm,Sm,62,101,163,5770(310)\#,-90(300)\#,,,1.23($^{+51}_{-47}$),-1,0,-1,0,-1,
164Sm,Sm,62,102,164,5280(320)\#,310(310)\#,,,1.43(24),-1,0,-1,0,-1,
165Sm,Sm,62,103,165,6920(420)\#,1500(420)\#,,,0.98(21),-1,0,-1,0,-1,
166Sm,Sm,62,104,166,6480(540)\#,1920(420)\#,,,0.80(63),-1,0,-1,0,-1,
167Sm,Sm,62,105,167,-1,-1,,,-1,0.001,0,-1,0,-1,
165Eu,Eu,63,102,165,5729(65),980(170)\#,,,2.53(26),-1,0,-1,0,-1,
166Eu,Eu,63,103,166,7320(300),1170(380)\#,,,1.31($^{+9}_{-14}$),-1,0,-1,0,-1,
167Eu,Eu,63,104,167,6800(500)\#,2450(450)\#,,,1.33(51),-1,0,-1,0,-1,
168Eu,Eu,63,105,168,8620(640)\#,3000(580)\#,,,0.20(10),-1,0,-1,0,-1,
169Eu,Eu,63,106,169,-1,-1,,,-1,0.001,0,-1,0,-1,
169Gd,Gd,64,105,169,6180(590)\#,500(590)\#,,,0.75(21),-1,0,-1,0,-1,
170Gd,Gd,64,106,170,5340(720)\#,880(670)\#,,,0.41 ($^{+14}_{-21}$),-1,0,-1,0,-1,
171Gd,Gd,64,107,171,-1,-1,,,-1,0.001,0,-1,0,-1,
169Tb,Tb,65,104,169,5270(420)\#,160(330)\#,,,5.13(32),-1,0,-1,0,-1,
170Tb,Tb,65,105,170,6940(450)\#,800(500)\#,,,0.960(78),-1,0,-1,0,-1,
171Tb,Tb,65,106,171,6160(590)\#,1560(540)\#,,,1.24 ($^{+9}_{-10}$),-1,0,-1,0,-1,
172Tb,Tb,65,107,172,8160(590)\#,2270(590)\#,,,0.76(19),-1,0,-1,0,-1,
173Tb,Tb,65,108,173,-1,-1,,,-1,0.001,0,-1,0,-1,
174Tb,Tb,65,109,174,-1,-1,,,-1,0.001,0,-1,0,-1,
174Dy,Dy,66,108,174,4320(590)\#,-90(590)\#,,,-1,-1,0,-1,0,-1,
175Dy,Dy,66,109,175,-1,-1,,,-1,0.001,0,-1,0,-1,
176Dy,Dy,66,110,176,-1,-1,,,-1,0.001,0,-1,0,-1,
174Ho,Ho,67,107,174,6260(420)\#,-110(360)\#,,,3.2(11),0,0,0,0,,
175Ho,Ho,67,108,175,5450(570)\#,680(500)\#,,,-1,-1,0,-1,0,-1,
176Ho,Ho,67,109,176,7340(640)\#,1290(640)\#,,,-1,-1,0,-1,0,-1,
177Ho,Ho,67,110,177,-1,-1,,,-1,0.001,0,-1,0,-1,
178Ho,Ho,67,111,178,-1,-1,,,-1,0.001,0,-1,0,-1,
180Er,Er,68,112,180,-1,-1,,,-1,0.001,0,-1,0,-1,
179Tm,Tm,69,110,179,4940(540)\#,20(500)\#,,,-1,-1,0,-1,0,-1,
180Tm,Tm,69,111,180,6680(590)\#,550(540)\#,,,-1,-1,0,-1,0,-1,
181Tm,Tm,69,112,181,5920(670)\#,1360(670)\#,,,-1,-1,0,-1,0,-1,
185Yb,Yb,70,115,185,5390(590)\#,-160(590)\#,,,-1,-1,0,-1,0,-1,
186Lu,Lu,71,115,186,6210(400)\#,40(410)\#,,,-1,-1,0,-1,0,-1,
187Lu,Lu,71,116,187,5240(500)\#,770(400)\#,,,-1,-1,0,-1,0,-1,
188Lu,Lu,71,117,188,7090(590)\#,960(590)\#,,,-1,-1,0,-1,0,-1,
191Ta,Ta,73,118,191,4680(300)\#,-180(300)\#,,,-1,-1,0,-1,0,-1,
192Ta,Ta,73,119,192,6590(450)\#,40(400)\#,,,2.2(7),-1,0,-1,0,-1,
193Ta,Ta,73,120,193,5420(450)\#,710(450)\#,,,-1,-1,0,-1,0,-1,
194Ta,Ta,73,121,194,7230(590)\#,920(540)\#,,,-1,-1,0,-1,0,-1,
197Re,Re,75,122,197,4810(360)\#,-300(300)\#,,,,0,0,0,0,,
198Re,Re,75,123,198,6700(450)\#,100(450)\#,,,-1,-1,0,-1,0,-1,
199Re,Re,75,124,199,5620(450)\#,910(450)\#,,,-1,-1,0,-1,0,-1,
203Os,Os,76,127,203,7050(570)\#,1070(500)\#,,,-1,-1,0,-1,0,-1,
203Ir,Ir,77,126,203,4940(450)\#,-70(400)\#,,,-1,-1,0,-1,0,-1,
204Ir,Ir,77,127,204,8230(450)\#,1870(450)\#,,,-1,-1,0,-1,0,-1,
205Ir,Ir,77,128,205,7010(590)\#,3890(540)\#,,,-1,-1,0,-1,0,-1,
206Pt,Pt,78,128,206,4580(420)\#,1070(360)\#,,,-1,-1,0,-1,0,-1,
207Pt,Pt,78,129,207,6270(500)\#,1600(500)\#,,,-1,-1,0,-1,0,-1,
208Pt,Pt,78,130,208,5110(500)\#,1750(500)\#,,,-1,-1,0,-1,0,-1,
206Au,Au,79,127,206,6730(300)\#,0(300)\#,,,47(15),-1,0,-1,0,-1,
207Au,Au,79,128,207,5680(300)\#,2060(300)\#,,,-1,-1,0,-1,0,-1,
208Au,Au,79,129,208,7160(300)\#,2320(300)\#,,,-1,-1,0,-1,0,-1,
209Au,Au,79,130,209,6100(430)\#,2650(400)\#,,,-1,-1,0,-1,0,-1,
210Au,Au,79,131,210,7690(450)\#,2900(430)\#,,,-1,-1,0,-1,0,-1,
209Hg,Hg,80,129,209,5000(150)\#,40(150)\#,,,6(1),-1,0,-1,0,-1,
210Hg,Hg,80,130,210,3880(200)\#,210(200)\#,,,64(12),2.2,0,2.2,0,2.2(22),
211Hg,Hg,80,131,211,5450(200)\#,550(200)\#,,,26.4(81),6.3,0,6.3,0,6.3(63),
212Hg,Hg,80,132,212,4310(360)\#,760(300)\#,,,-1,-1,0,-1,0,-1,
213Hg,Hg,80,133,213,5880(300)\#,1150(360)\#,,,-1,-1,0,-1,0,-1,
214Hg,Hg,80,134,214,4710(450)\#,1320(400)\#,,,-1,-1,0,-1,0,-1,
215Hg,Hg,80,135,215,6300(500)\#,1670(450)\#,,,-1,-1,0,-1,0,-1,
216Hg,Hg,80,136,216,5140(500)\#,1880(500)\#,,,-1,-1,0,-1,0,-1,
209Tl,Tl,81,128,209,3969.9(62),32.5(61),,,129.72(42),-1,0,-1,0,-1,
210Tl,Tl,81,129,210,5482(12),296(12),,,78.0(18),0.007,0,0.007,0,0.007($^{+7}_{-4}$),
211Tl,Tl,81,130,211,4415(42),579(42),,,80(18),2.2,0,2.2,0,2.2(22),
212Tl,Tl,81,131,212,6000(200)\#,870(200)\#,,,34(13),1.8,0,1.8,0,1.8(18),
213Tl,Tl,81,132,213,4987(28),1261(27),,,24.4(44),7.6,0,7.6,0,7.6(34),
214Tl,Tl,81,133,214,6650(200)\#,1600(200)\#,,,11.0(24),34,0,34,0,34(12),
215Tl,Tl,81,134,215,5570(300)\#,2020(300)\#,,,9.7(38),4.6,0,4.6,0,4.6(46),
216Tl,Tl,81,135,216,7240(360)\#,2300(300)\#,,,5.9(33),11.5,0,11.5,0,<11.5,
217Tl,Tl,81,136,217,6070(500)\#,2760(450)\#,,,-1,-1,0,-1,0,-1,
218Tl,Tl,81,137,218,7730(500)\#,2870(500)\#,-440(450)\#,,,0,0,0,0,,
219Bi,Bi,83,136,219,3600(200)\#,-150(200)\#,,,10.6(47),-1,0,-1,0,-1,
220Bi,Bi,83,137,220,5560(300)\#,70(300)\#,,,9.5(57),-1,0,-1,0,-1,
221Bi,Bi,83,138,221,4320(300)\#,760(300)\#,,,-1,-1,0,-1,0,-1,
222Bi,Bi,83,139,222,6240(300)\#,880(300)\#,,,-1,-1,0,-1,0,-1,
223Bi,Bi,83,140,223,5060(450)\#,1580(400)\#,,,-1,-1,0,-1,0,-1,
224Bi,Bi,83,141,224,6920(450)\#,1680(450)\#,,,-1,-1,0,-1,0,-1,
227Po,Po,84,143,227,4800(500)\#,-410(500)\#,,,,0,0,0,0,,
225At,At,85,140,225,3860(300)\#,-120(300)\#,,,-1,-1,0,-1,0,-1,
226At,At,85,141,226,5870(300)\#,10(300)\#,,,-1,-1,0,-1,0,-1,
227At,At,85,142,227,4600(300)\#,670(300)\#,,,-1,-1,0,-1,0,-1,
228At,At,85,143,228,6440(400)\#,730(400)\#,,,-1,-1,0,-1,0,-1,
229At,At,85,144,229,5460(400)\#,1510(400)\#,,,-1,-1,0,-1,0,-1,
233Fr,Fr,87,146,233,4586(21),352(22),,,0.9(1),-1,0,-1,0,-1,
237Ac,Ac,89,148,237,4070(400)\#,-310(400)\#,,,,0,0,0,0,,