Nuclide,T12
144Ce,24616224
145Ce,180.6
146Ce,809.4
147Ce,56.4
148Ce,56.8
149Ce,5.3
150Ce,4
151Ce,1.76
152Ce,1.4
121Pr,0.01
122Pr,0.5
123Pr,0.8
124Pr,1.2
125Pr,3.3
126Pr,3.14
127Pr,4.2
128Pr,2.85
129Pr,30
130Pr,40
131Pr,90.6
132Pr,96
133Pr,390
134Pr,660
135Pr,1440
136Pr,786
137Pr,4608
138Pr,87
139Pr,15876
140Pr,203.4
141Pr,STABLE
142Pr,68832
143Pr,1172448
144Pr,1036.8
145Pr,21542.4
146Pr,1449
147Pr,804
148Pr,137.4
149Pr,135.6
150Pr,6.19
151Pr,18.9
152Pr,3.57
153Pr,4.28
154Pr,2.3
125Nd,0.65
127Nd,1.8
128Nd,5
129Nd,6.7
130Nd,21
131Nd,25.4
132Nd,94
133Nd,70
134Nd,510
135Nd,744
136Nd,3039
137Nd,2310
138Nd,18144
139Nd,1782
140Nd,291168
141Nd,8964
142Nd,STABLE
143Nd,STABLE
144Nd,7.23E+22
145Nd,STABLE
146Nd,STABLE
147Nd,948672
148Nd,STABLE
149Nd,6220.8
150Nd,2.87E+26
151Nd,746.4
152Nd,684
153Nd,31.6
154Nd,25.9
155Nd,8.9
156Nd,5.06
128Pm,1
129Pm,2.4
130Pm,2.6
131Pm,6.3
132Pm,6.2
133Pm,13.5
134Pm,5
135Pm,49
136Pm,107
137Pm,144
138Pm,10
139Pm,249
140Pm,9.2
141Pm,1254
142Pm,40.5
143Pm,22896000
144Pm,31363200
145Pm,558569520
146Pm,174513528
147Pm,82788207.84
148Pm,463795.2
149Pm,191088
150Pm,9712.8
151Pm,102240
152Pm,247.2
153Pm,315
154Pm,160.8
155Pm,41.5
156Pm,26.7
157Pm,10.56
158Pm,4.8
159Pm,1.5
129Sm,0.55
131Sm,1.2
132Sm,4
133Sm,2.89
134Sm,9.5
135Sm,10.3
136Sm,47
137Sm,45
138Sm,186
139Sm,154.2
140Sm,889.2
141Sm,612
142Sm,4349.4
143Sm,525
144Sm,STABLE
145Sm,29376000
146Sm,3.25043E+15
147Sm,3.34511E+18
148Sm,2.21E+23
149Sm,STABLE
150Sm,STABLE
151Sm,2840184000
152Sm,STABLE
153Sm,166622.4
154Sm,STABLE
155Sm,1338
156Sm,33840
157Sm,481.8
158Sm,318
159Sm,11.37
160Sm,9.6
161Sm,4.8
162Sm,2.4
130Eu,0.0009
131Eu,0.0178
134Eu,0.5
135Eu,1.5
136Eu,3.3
137Eu,11
138Eu,12.1
139Eu,17.9
140Eu,1.51
141Eu,40.7
142Eu,2.34
143Eu,155.4
144Eu,10.2
145Eu,512352
146Eu,398304
147Eu,2082240
148Eu,4708800
149Eu,8043840
150Eu,1164475440
151Eu,5.36E+25
152Eu,426564079.2
153Eu,STABLE
154Eu,271426917.6
155Eu,149993272.8
156Eu,1312416
157Eu,54648
158Eu,2754
159Eu,1086
160Eu,38
161Eu,26
162Eu,10.6
163Eu,7.7
164Eu,4.2
165Eu,2.3
166Eu,1.7
135Gd,1.1
136Gd,2.00E-07
137Gd,2.2
138Gd,4.7
139Gd,5.8
140Gd,15.8
141Gd,14
142Gd,70.2
143Gd,39
144Gd,268.2
145Gd,1380
146Gd,4170528
147Gd,137016
148Gd,2243745360
149Gd,801792
150Gd,5.64881E+13
151Gd,10704960
152Gd,1.08E+14
153Gd,20770560
154Gd,STABLE
155Gd,STABLE
156Gd,STABLE
157Gd,STABLE
158Gd,STABLE
159Gd,66524.4
161Gd,219.6
162Gd,504
163Gd,68
164Gd,45
165Gd,10.3
166Gd,4.8
135Tb,0.00094
138Tb,2.00E-07
139Tb,1.6
140Tb,2
141Tb,3.5
142Tb,0.597
143Tb,12
144Tb,1
145Tb,30.9
146Tb,8
147Tb,5904
148Tb,3600
149Tb,14824.8
150Tb,12528
151Tb,63392.4
152Tb,63000
153Tb,202176
154Tb,77400
155Tb,459648
156Tb,462240
157Tb,2240589600
158Tb,5680368000
159Tb,STABLE
160Tb,6246720
161Tb,595296
162Tb,456
163Tb,1170
164Tb,180
165Tb,126.6
166Tb,25.1
167Tb,19.4
168Tb,8.2
139Dy,0.6
141Dy,0.9
142Dy,2.3
143Dy,5.6
144Dy,9.1
145Dy,6
146Dy,33.2
147Dy,67
148Dy,198
149Dy,252
150Dy,430.2
151Dy,1074
152Dy,8568
153Dy,23040
154Dy,9.46728E+13
155Dy,35640
156Dy,STABLE
157Dy,29304
158Dy,STABLE
159Dy,12476160
160Dy,STABLE
161Dy,STABLE
162Dy,STABLE
163Dy,STABLE
164Dy,STABLE
165Dy,8402.4
166Dy,293760
167Dy,372
168Dy,522
169Dy,39
140Ho,0.006
141Ho,0.0041
142Ho,0.4
144Ho,0.7
145Ho,2.4
146Ho,3.32
147Ho,5.8
148Ho,2.2
149Ho,21.1
150Ho,72
151Ho,35.2
152Ho,161.8
153Ho,120.6
154Ho,705.6
155Ho,2880
156Ho,3360
157Ho,756
158Ho,678
159Ho,1983
160Ho,1536
161Ho,8928
162Ho,900
163Ho,1.44218E+11
164Ho,1740
165Ho,STABLE
166Ho,96566.4
167Ho,10810.8
168Ho,179.4
169Ho,283.2
170Ho,165.6
171Ho,53
172Ho,25
144Er,2.00E-07
145Er,1
146Er,1.7
147Er,2.5
148Er,4.6
149Er,4
150Er,18.5
151Er,23.5
152Er,10.3
153Er,37.1
154Er,223.8
155Er,318
156Er,1170
157Er,1119
158Er,8244
159Er,2160
160Er,102888
161Er,11556
162Er,STABLE
163Er,4500
164Er,STABLE
165Er,37296
166Er,STABLE
167Er,STABLE
168Er,STABLE
169Er,811468.8
170Er,STABLE
171Er,27057.6
172Er,177480
173Er,84
174Er,192
175Er,72
144Tm,1.9E-06
145Tm,3.17E-06
146Tm,0.068
147Tm,0.58
148Tm,0.7
149Tm,0.9
150Tm,2.2
151Tm,4.17
152Tm,8
153Tm,1.48
154Tm,8.1
155Tm,21.6
156Tm,83.8
157Tm,217.8
158Tm,238.8
159Tm,547.8
160Tm,564
161Tm,1812
162Tm,1302
163Tm,6516
164Tm,120
165Tm,108216
166Tm,27720
167Tm,799200
168Tm,8043840
169Tm,STABLE
170Tm,11111040
171Tm,60590592
172Tm,228960
173Tm,29664
174Tm,324
175Tm,912
176Tm,114
177Tm,90
149Yb,0.7
150Yb,2.00E-07
151Yb,1.6
152Yb,3.03
153Yb,4.2
154Yb,0.409
155Yb,1.793
156Yb,26.1
157Yb,38.6
158Yb,89.4
159Yb,100.2
160Yb,288
161Yb,252
162Yb,1132.2
163Yb,663
164Yb,4548
165Yb,594
166Yb,204120
167Yb,1050
168Yb,STABLE
169Yb,2766355.2
170Yb,STABLE
171Yb,STABLE
172Yb,STABLE
173Yb,STABLE
174Yb,STABLE
175Yb,361584
176Yb,STABLE
177Yb,6879.6
178Yb,4440
179Yb,480
180Yb,144
150Lu,0.045
151Lu,0.0806
152Lu,0.7
153Lu,0.9
154Lu,1.12
155Lu,0.068
156Lu,0.494
157Lu,6.8
158Lu,10.6
159Lu,12.1
160Lu,36.1
161Lu,77
162Lu,82.2
163Lu,238.2
164Lu,188.4
165Lu,644.4
166Lu,159
167Lu,3090
168Lu,330
169Lu,122616
170Lu,173836.8
171Lu,711936
172Lu,578880
173Lu,43233912
174Lu,104455656
175Lu,STABLE
176Lu,1.18657E+18
177Lu,574300.8
178Lu,1704
179Lu,16524
180Lu,342
181Lu,210
182Lu,120
183Lu,58
184Lu,19
154Hf,2
155Hf,0.84
156Hf,0.023
157Hf,0.115
158Hf,2.85
159Hf,5.6
160Hf,13.6
161Hf,18.4
162Hf,39.4
163Hf,40
164Hf,111
165Hf,76
166Hf,406.2
167Hf,123
168Hf,1557
169Hf,194.4
170Hf,57636
171Hf,43560
172Hf,59012712
173Hf,84960
174Hf,6.31E+22
175Hf,6048000
176Hf,STABLE
177Hf,STABLE
178Hf,STABLE
179Hf,STABLE
180Hf,STABLE
181Hf,3662496
182Hf,2.80863E+14
183Hf,3664.8
184Hf,14832
185Hf,210
186Hf,156
187Hf,2.70E-07
155Ta,0.0029
156Ta,0.144
157Ta,0.0101
158Ta,0.055
159Ta,0.83
160Ta,1.55
162Ta,3.57
163Ta,10.6
164Ta,14.2
165Ta,31
166Ta,34.4
167Ta,80
168Ta,120
169Ta,294
170Ta,405.6
171Ta,1398
172Ta,2208
173Ta,11304
174Ta,4104
175Ta,37800
176Ta,29124
177Ta,203616
178Ta,558.6
179Ta,57434832
180Ta,29354.4
181Ta,STABLE
182Ta,9913536
183Ta,440640
184Ta,31320
185Ta,2964
186Ta,630
187Ta,138
188Ta,19.6
190Ta,5.3
192Ta,2.2
157W,0.275
158W,0.00125
159W,0.0073
160W,0.091
161W,0.409
162W,1.36
163W,2.67
164W,6.3
165W,5.1
166W,19.2
167W,19.9
168W,50.9
169W,74
170W,145.2
171W,142.8
172W,396
173W,456
174W,1992
175W,2112
176W,9000
177W,7920
178W,1866240
179W,2223
180W,2.08E+25
181W,10471680
182W,STABLE
183W,2.11E+28
184W,STABLE
185W,6488640
187W,86400
188W,6028992
189W,642
190W,1800
160Re,0.00082
161Re,0.00044
162Re,0.107
163Re,0.39
164Re,0.85
165Re,1.6
166Re,2.25
167Re,5.9
168Re,4.4
169Re,8.1
170Re,9.2
171Re,15.2
172Re,55
173Re,118.8
174Re,144
175Re,353.4
176Re,318
177Re,840
178Re,792
179Re,1170
180Re,147.6
181Re,71640
182Re,231120
183Re,6048000
184Re,3058560
185Re,STABLE
186Re,321287.04
187Re,1.36644E+18
188Re,61210.8
189Re,87480
190Re,186
191Re,588
192Re,16
194Re,5
195Re,6
196Re,3
161Os,0.00064
162Os,0.0021
163Os,0.0055
164Os,0.021
165Os,0.071
166Os,0.208
167Os,0.81
168Os,2.1
169Os,3.43
170Os,7.37
171Os,8.3
172Os,19.2
173Os,22.4
174Os,44
175Os,84
176Os,216
177Os,180
178Os,300
179Os,390
180Os,1290
181Os,6300
182Os,78624
183Os,46800
185Os,8087040
186Os,6.31E+22
187Os,STABLE
188Os,STABLE
189Os,STABLE
190Os,STABLE
191Os,1330560
192Os,STABLE
193Os,108396
194Os,189345600
195Os,540
196Os,2094
197Os,168
199Os,5
200Os,6
164Ir,0.00007
166Ir,0.0105
167Ir,0.03
168Ir,0.222
169Ir,0.57
170Ir,0.87
171Ir,3.2
172Ir,4.4
173Ir,9
174Ir,7.9
175Ir,9
176Ir,8.6
177Ir,30
178Ir,12
179Ir,79
180Ir,90
181Ir,294
182Ir,900
183Ir,3480
184Ir,11124
185Ir,51840
186Ir,59904
187Ir,37800
188Ir,149400
189Ir,1140480
190Ir,1017792
191Ir,STABLE
192Ir,6378825.6
193Ir,STABLE
194Ir,69408
195Ir,8244
196Ir,52
197Ir,348
198Ir,8
199Ir,6
202Ir,11
166Pt,0.0003
167Pt,0.00078
168Pt,0.00202
169Pt,0.00699
170Pt,0.0138
171Pt,0.0455
172Pt,0.0976
173Pt,0.382
174Pt,0.889
175Pt,2.53
176Pt,6.33
177Pt,10.6
178Pt,20.7
179Pt,21.2
180Pt,56
181Pt,52
182Pt,160.2
183Pt,43
184Pt,1038
185Pt,4254
186Pt,7488
187Pt,8460
188Pt,881280
189Pt,39132
190Pt,2.05124E+19
191Pt,244512
192Pt,STABLE
193Pt,1577880000
194Pt,STABLE
195Pt,STABLE
196Pt,STABLE
197Pt,71609.4
198Pt,STABLE
199Pt,1848
200Pt,45360
201Pt,150
202Pt,158400
203Pt,10
204Pt,10.3
170Au,0.000286
171Au,0.000017
172Au,0.022
173Au,0.0263
174Au,0.139
176Au,1.05
177Au,1.53
178Au,2.6
179Au,7.1
180Au,8.4
181Au,13.7
182Au,15.5
183Au,42.8
184Au,20.6
185Au,255
186Au,642
187Au,504
188Au,530.4
189Au,1722
190Au,2568
191Au,11448
192Au,17784
193Au,63540
194Au,136872
195Au,16071264
196Au,532820.16
197Au,STABLE
198Au,232770.24
199Au,271209.6
200Au,2904
201Au,1560
202Au,28.4
203Au,60
204Au,39.8
205Au,32.5
206Au,40
171Hg,0.000059
172Hg,0.000231
173Hg,0.0008
174Hg,0.0021
175Hg,0.0106
176Hg,0.0203
177Hg,0.118
178Hg,0.2665
179Hg,1.05
180Hg,2.59
181Hg,3.6
182Hg,10.83
183Hg,9.4
184Hg,30.87
185Hg,49.1
186Hg,82.8
187Hg,114
188Hg,195
189Hg,456
190Hg,1200
191Hg,2940
192Hg,17460
193Hg,13680
194Hg,14011574400
195Hg,37908
196Hg,STABLE
197Hg,230904
198Hg,STABLE
199Hg,STABLE
200Hg,STABLE
201Hg,STABLE
202Hg,STABLE
203Hg,4025721.6
204Hg,STABLE
205Hg,308.4
206Hg,499.2
207Hg,174
208Hg,2460
209Hg,36
176Tl,0.0052
177Tl,0.018
178Tl,0.254
179Tl,0.23
180Tl,1.09
181Tl,3.2
182Tl,3.1
183Tl,6.9
184Tl,10.1
185Tl,19.5
186Tl,27.5
187Tl,51
188Tl,71
189Tl,138
190Tl,156
191Tl,313.2
192Tl,576
193Tl,1296
194Tl,1980
195Tl,4176
196Tl,6624
197Tl,10224
198Tl,19080
199Tl,26712
200Tl,93960
201Tl,262837.44
202Tl,1063584
203Tl,STABLE
204Tl,119382400.8
205Tl,STABLE
206Tl,252.12
207Tl,286.2
208Tl,183.18
209Tl,129.72
210Tl,78
211Tl,88
213Tl,101
178Pb,0.00012
179Pb,0.0035
180Pb,0.0041
181Pb,0.036
182Pb,0.055
183Pb,0.535
184Pb,0.49
185Pb,6.3
186Pb,4.82
187Pb,15.2
188Pb,25.1
189Pb,39
190Pb,71
191Pb,79.8
192Pb,210
193Pb,348
194Pb,642
195Pb,900
196Pb,2220
197Pb,486
198Pb,2.4
199Pb,5400
200Pb,77400
201Pb,33588
202Pb,1.65677E+12
203Pb,186912
204Pb,4.42E+24
205Pb,5.45946E+14
206Pb,STABLE
207Pb,STABLE
208Pb,STABLE
209Pb,11642.4
210Pb,700578720
211Pb,2166
212Pb,38304
213Pb,612
214Pb,1623.6
215Pb,147
184Bi,0.013
185Bi,0.000058
186Bi,0.0148
187Bi,0.037
188Bi,0.265
189Bi,0.674
190Bi,6.3
191Bi,12.4
192Bi,34.6
193Bi,63.6
194Bi,95
195Bi,183
196Bi,308
197Bi,559.8
198Bi,618
199Bi,1620
200Bi,2184
201Bi,6180
202Bi,6156
203Bi,42336
204Bi,40392
205Bi,1322784
206Bi,539395.2
207Bi,995642280
208Bi,1.16132E+13
209Bi,6.34E+26
210Bi,433036.8
211Bi,128.4
212Bi,3633
213Bi,2736.6
214Bi,1194
215Bi,456
216Bi,135
217Bi,98.5
218Bi,33
219Bi,22
186Po,0.000028
187Po,0.0014
188Po,0.000275
189Po,0.0035
190Po,0.00246
191Po,0.022
192Po,0.0322
193Po,0.245
194Po,0.392
195Po,4.64
196Po,5.8
197Po,84
198Po,105.6
199Po,328.2
200Po,690.6
201Po,936
202Po,2676
203Po,2202
204Po,12668.4
205Po,6264
206Po,760320
207Po,20880
208Po,91453924.8
209Po,3913142400
210Po,11955686.4
211Po,0.516
212Po,2.99E-07
213Po,0.00000372
214Po,0.0001636
215Po,0.001781
216Po,0.145
217Po,1.53
218Po,185.88
219Po,620
221Po,112
222Po,550
191At,0.0017
192At,0.0115
193At,0.028
194At,0.31
195At,0.29
196At,0.388
197At,0.388
198At,4.2
199At,6.92
200At,43
201At,85.2
202At,184
203At,444
204At,547.2
205At,1614
206At,1836
207At,6516
208At,5868
209At,19512
210At,29160
211At,25970.4
212At,0.314
213At,1.25E-07
214At,5.58E-07
215At,0.0001
216At,0.0003
217At,0.0323
218At,1.5
219At,56
220At,222.6
221At,138
222At,54
223At,50
224At,78
193Rn,0.00115
194Rn,0.00078
195Rn,0.006
196Rn,0.0044
197Rn,0.054
198Rn,0.065
199Rn,0.59
200Rn,1.03
201Rn,7
202Rn,9.7
203Rn,44
204Rn,74.5
205Rn,170
206Rn,340.2
207Rn,555
208Rn,1461
209Rn,1728
210Rn,8640
211Rn,52560
212Rn,1434
213Rn,0.0195
214Rn,2.70E-07
215Rn,2.3E-06
216Rn,4.5E-05
217Rn,0.00054
218Rn,0.035
219Rn,3.96
220Rn,55.6
221Rn,1500
222Rn,330350.4
223Rn,1458
224Rn,6420
225Rn,279.6
226Rn,444
227Rn,20.2
228Rn,65
229Rn,12
197Fr,0.0006
198Fr,0.015
199Fr,0.0045
200Fr,0.049
201Fr,0.062
202Fr,0.372
203Fr,0.55
204Fr,1.8
205Fr,3.97
206Fr,16
207Fr,14.8
208Fr,59.1
209Fr,50.5
210Fr,190.8
211Fr,186
212Fr,1200
213Fr,34.82
214Fr,0.005
215Fr,8.60E-08
216Fr,7.00E-07
217Fr,1.9E-05
218Fr,0.001
219Fr,0.02
220Fr,27.4
221Fr,286.1
222Fr,852
223Fr,1320
224Fr,199.8
225Fr,237
226Fr,49
227Fr,148.2
228Fr,38
229Fr,50.2
230Fr,19.1
231Fr,17.6
232Fr,5.5
233Fr,0.9
201Ra,0.0016
202Ra,0.0038
203Ra,0.031
204Ra,0.057
205Ra,0.21
206Ra,0.24
207Ra,1.35
208Ra,1.3
209Ra,4.6
210Ra,3.7
211Ra,13
212Ra,13
213Ra,0.00273
214Ra,2.46
215Ra,0.00166
216Ra,1.82E-07
217Ra,0.0000016
218Ra,0.0000252
219Ra,0.01
220Ra,0.018
221Ra,28
222Ra,38
223Ra,987552
224Ra,313796.16
225Ra,1287360
226Ra,50492160000
227Ra,2532
228Ra,181456200
229Ra,240
230Ra,5580
231Ra,104
232Ra,252
233Ra,30
234Ra,30
205Ac,0.02
206Ac,0.022
207Ac,0.027
208Ac,0.095
209Ac,0.087
210Ac,0.35
211Ac,0.21
212Ac,0.93
213Ac,0.738
214Ac,8.2
215Ac,0.17
216Ac,0.00044
217Ac,6.90E-08
218Ac,0.00000108
219Ac,0.0000118
220Ac,0.0264
221Ac,0.052
222Ac,5
223Ac,126
224Ac,10008
225Ac,857088
226Ac,105732
227Ac,687072067.2
228Ac,22140
229Ac,3762
230Ac,122
231Ac,450
232Ac,119
233Ac,145
234Ac,44
235Ac,62
236Ac,72
208Th,0.0017
209Th,0.0025
210Th,0.016
211Th,0.037
212Th,0.0317
213Th,0.144
214Th,0.087
215Th,1.2
216Th,0.026
217Th,0.000241
218Th,1.17E-07
219Th,0.00000105
220Th,9.7E-06
221Th,0.00168
222Th,0.0028
223Th,0.6
224Th,1.04
225Th,525
226Th,1834.2
227Th,1615420.8
228Th,60353910
229Th,2.50315E+11
230Th,2.37944E+12
231Th,91872
232Th,4.41806E+17
233Th,1309.8
234Th,2082240
235Th,426
236Th,2238
237Th,282
238Th,564
212Pa,0.0051
213Pa,0.0053
214Pa,0.017
215Pa,0.014
216Pa,0.15
217Pa,0.0036
218Pa,0.000113
219Pa,5.30E-08
220Pa,7.80E-07
221Pa,0.0000059
222Pa,0.0029
223Pa,0.0051
224Pa,0.846
225Pa,1.7
226Pa,108
227Pa,2298
228Pa,79200
229Pa,129600
230Pa,1503360
231Pa,1.03383E+12
232Pa,114048
233Pa,2330640
234Pa,24120
235Pa,1464
236Pa,546
237Pa,522
238Pa,136.8
239Pa,6480
216U,0.0045
217U,0.016
218U,0.00051
219U,0.000042
221U,6.60E-07
222U,0.0000047
223U,0.000018
224U,0.00084
225U,0.095
226U,0.268
227U,66
228U,546
229U,3480
230U,20.8
231U,362880
232U,2174318640
233U,5.02397E+12
234U,7.74739E+12
235U,2.22166E+16
236U,7.39079E+14
237U,583200
238U,1.40999E+17
239U,1407
240U,50760
242U,1008
225Np,0.0036
226Np,0.035
227Np,0.51
228Np,61.4
229Np,240
230Np,276
231Np,2928
232Np,882
233Np,2172
234Np,380160
235Np,34223040
236Np,4.82831E+12
237Np,6.76595E+13
238Np,182908.8
239Np,203558.4
240Np,3714
241Np,834
242Np,132
243Np,111
244Np,137.4
228Pu,1.1
229Pu,67
230Pu,102
231Pu,516
232Pu,2028
233Pu,1254
234Pu,31680
235Pu,1518
236Pu,90191620.8
237Pu,3943296
238Pu,2767601520
239Pu,7.60854E+11
240Pu,2.07049E+11
241Pu,452188850.4
242Pu,375000
243Pu,17841.6
244Pu,2.52461E+15
245Pu,37800
246Pu,936576
247Pu,196128
230Am,17
232Am,79
233Am,192
234Am,139.2
235Am,618
236Am,216
237Am,4416
238Am,5880
239Am,42840
240Am,182880
241Am,13651817760
242Am,57672
243Am,2.3239E+11
244Am,36360
245Am,7380
246Am,2340
247Am,1380
248Am,600
233Cm,23
234Cm,51
238Cm,7920
239Cm,9720
240Cm,2332800
241Cm,2833920
242Cm,14065920
243Cm,918326160
244Cm,571192560
245Cm,2.6581E+11
246Cm,1.4851E+11
247Cm,4.92299E+14
248Cm,1.0982E+13
249Cm,3849
250Cm,2.61928E+11
251Cm,1008
234Bk,140
237Bk,60
238Bk,144
240Bk,288
241Bk,276
242Bk,420
243Bk,16200
244Bk,15660
245Bk,427680
246Bk,155520
247Bk,43549488000
249Bk,28512000
250Bk,11563.2
251Bk,3336
237Cf,0.8
238Cf,0.0211
239Cf,39
240Cf,64
241Cf,226.8
242Cf,209.4
243Cf,642
244Cf,1164
245Cf,2700
246Cf,128520
247Cf,11196
248Cf,28814400
249Cf,11076717600
250Cf,412773408
251Cf,28338724800
252Cf,83469852
253Cf,1538784
254Cf,5227200
255Cf,5100
256Cf,738
241Es,8
242Es,17.8
243Es,21
244Es,37
245Es,66
246Es,450
247Es,273
248Es,1440
249Es,6132
250Es,30960
251Es,118800
252Es,40754880
253Es,1768608
254Es,23820480
255Es,3438720
256Es,1524
257Es,665280
241Fm,0.00073
243Fm,0.231
244Fm,0.00312
245Fm,4.2
246Fm,1.54
247Fm,31
248Fm,34.5
249Fm,156
250Fm,1800
251Fm,19080
252Fm,91404
253Fm,259200
254Fm,11664
255Fm,72252
256Fm,9456
257Fm,8683200
258Fm,0.00037
259Fm,1.5
260Fm,0.004
245Md,0.0009
246Md,0.9
247Md,1.2
248Md,13
249Md,21.7
250Md,25
251Md,256.2
252Md,138
253Md,360
254Md,1680
255Md,1620
256Md,4620
257Md,19872
258Md,4449600
259Md,5760
260Md,2747520
250No,0.0000042
251No,0.8
252No,2.44
253No,97.2
254No,51
255No,211.2
256No,2.91
257No,24.5
258No,0.0012
259No,3480
260No,0.106
262No,0.005
252Lr,0.36
253Lr,0.57
254Lr,18.4
255Lr,31.1
256Lr,27
257Lr,4
258Lr,4.1
259Lr,6.2
260Lr,180
261Lr,2340
262Lr,14400
266Lr,39600
253Rf,0.000048
254Rf,0.000023
255Rf,1.68
256Rf,0.00667
257Rf,4.4
258Rf,0.0147
259Rf,2.4
260Rf,0.021
261Rf,68
262Rf,2.3
263Rf,600
265Rf,60
255Db,1.6
256Db,1.6
257Db,2.3
258Db,4.2
259Db,0.51
260Db,1.52
261Db,1.8
262Db,35
263Db,27
267Db,73
268Db,115200
270Db,3600
258Sg,0.0029
259Sg,0.29
260Sg,0.00495
261Sg,0.178
262Sg,0.0069
263Sg,1
264Sg,0.037
265Sg,14.4
266Sg,21
269Sg,186
271Sg,144
260Bh,0.035
261Bh,0.0118
262Bh,0.022
264Bh,0.44
265Bh,0.9
266Bh,1.7
267Bh,17
270Bh,60
272Bh,10
274Bh,54
263Hs,0.00074
264Hs,0.0008
265Hs,0.0019
266Hs,0.0023
267Hs,0.052
268Hs,0.4
269Hs,9.7
270Hs,22
273Hs,0.76
275Hs,0.15
277Hs,0.003
266Mt,0.0017
268Mt,0.021
270Mt,0.005
274Mt,0.44
275Mt,0.0097
276Mt,0.72
277Mt,5
278Mt,8
267Ds,0.0000028
269Ds,0.000179
270Ds,0.0001
271Ds,0.00163
273Ds,0.00017
277Ds,0.0041
279Ds,0.18
281Ds,13
272Rg,0.0038
274Rg,0.0064
278Rg,0.0042
279Rg,0.17
280Rg,3.6
281Rg,17
282Rg,0.5
281Cn,0.13
282Cn,0.0005
283Cn,4
284Cn,0.101
285Cn,30
278Nh,0.0014
282Nh,0.07
283Nh,0.1
284Nh,0.48
285Nh,5.5
286Nh,20
284Fl,0.0025
285Fl,0.15
286Fl,0.16
287Fl,0.51
288Fl,0.52
289Fl,0.97
287Mc,32
288Mc,87
289Mc,0.22
290Mc,0.016
290Lv,0.015
291Lv,0.0063
292Lv,0.018
293Lv,0.053
293Ts,0.014
294Ts,0.08